algorithm,heuristic,solution found,depth,initial_state,final_state,action_sequence,path_cost,time (ms), nodes, memory (Kb)
breadth_first,None,True,6,"Eforie","Oradea","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Oradea (151)]",730,1.1317729949951172,186,61.804
breadth_first,None,True,6,"Eforie","Arad","[Eforie -> Hirsova (86), Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140)]",719,1.1434555053710938,181,60.144
breadth_first,None,True,7,"Lugoj","Vaslui","[Lugoj -> Timisoara (111), Timisoara -> Arad (118), Arad -> Sibiu (140), Sibiu -> Fagaras (99), Fagaras -> Bucharest (211), Bucharest -> Urziceni (85), Urziceni -> Vaslui (142)]",906,4.682302474975586,750,248.968
breadth_first,None,True,6,"Vaslui","Timisoara","[Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",795,3.5409927368164062,576,191.256
breadth_first,None,True,6,"Vaslui","Zerind","[Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Zerind (75)]",752,3.606557846069336,570,189.264
breadth_first,None,True,5,"Iasi","Sibiu","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99)]",629,0.6604194641113281,107,35.520
breadth_first,None,True,6,"Iasi","Drobeta","[Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120)]",678,1.4405250549316406,233,77.352
breadth_first,None,True,6,"Neamt","Craiova","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138)]",645,0.6468296051025391,101,33.584
breadth_first,None,True,6,"Neamt","Rimnicu","[Neamt -> Iasi (87), Iasi -> Vaslui (92), Vaslui -> Urziceni (142), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Rimnicu (97)]",604,0.6721019744873047,94,31.260
breadth_first,None,True,5,"Sibiu","Eforie","[Sibiu -> Fagaras (99), Fagaras -> Bucharest (211), Bucharest -> Urziceni (85), Urziceni -> Hirsova (98), Hirsova -> Eforie (86)]",579,3.929615020751953,625,207.384
breadth_first,None,True,6,"Hirsova","Mehadia","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75)]",617,2.488851547241211,417,138.468
breadth_first,None,True,5,"Hirsova","Oradea","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Oradea (151)]",644,1.1420249938964844,185,61.388
breadth_first,None,True,5,"Hirsova","Arad","[Hirsova -> Urziceni (98), Urziceni -> Bucharest (85), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140)]",633,1.0967254638671875,180,59.728
breadth_first,None,True,6,"Giurgiu","Lugoj","[Giurgiu -> Bucharest (90), Bucharest -> Pitesti (101), Pitesti -> Craiova (138), Craiova -> Drobeta (120), Drobeta -> Mehadia (75), Mehadia -> Lugoj (70)]",594,3.9246082305908203,624,207.248
breadth_first,None,True,5,"Giurgiu","Timisoara","[Giurgiu -> Bucharest (90), Bucharest -> Fagaras (211), Fagaras -> Sibiu (99), Sibiu -> Arad (140), Arad -> Timisoara (118)]",658,1.6603469848632812,289,96.028
